Amplitude,Frequency,Phase,Negative Peak,Peak to Peak,Positive Peak,Arithmetic Mean,RMS,Standard Dev,Variance,Kurtosis,Median,Mode,Skewness,Classe
2.892081,0.078742,92.918842,-0.000531,-32.919526,65.343749,32.424223,5.912159,5.912785,34.961026,4.452492,0.000495,0.732505,0.000264,Close
15.24416,0.003008,-93.647575,0.453686,-117.933556,226.552534,108.618978,36.238727,36.240346,1313.362662,2.822372,0.698998,-1.259001,-0.094326,Open
21.013064,0.003085,-134.454298,0.234239,-117.2871,226.100685,108.813584,36.608595,36.614537,1340.62433,2.818626,-0.607964,-0.845248,-0.079157,Open
3.282488,0.082991,106.337802,-0.001214,-15.365008,30.304511,14.939503,5.300917,5.302202,28.113345,2.907891,0.006774,0.847905,0.000764,Close
26.46314,0.00146,-3.703025,0.20583,-101.463148,199.752361,98.289214,36.931316,36.943864,1364.849123,2.772804,0.934802,1.409318,-0.024277,Open
2.701137,0.075933,-67.91824,-0.003404,-18.315178,36.216139,17.900962,5.291048,5.294645,28.03327,3.81351,-0.127162,-1.474673,0.003092,Close
17.196253,0.002305,-107.284783,4.08541,-63.442326,165.303068,101.860742,27.882504,27.602123,761.877218,3.357129,2.128665,-13.02489,0.560274,Open
3.271968,0.082436,105.268106,-0.002804,-17.175127,34.761881,17.586754,4.945606,4.947468,24.477439,3.901234,-0.001979,1.07486,0.000902,Close
24.912127,0.000713,184.220674,0.830304,-107.825622,244.000076,136.174454,37.867002,37.867366,1433.937382,3.360243,-1.860943,-13.885593,0.47882,Open
25.780489,0.000703,55.595615,0.208581,-120.125652,293.332089,173.206437,40.998039,41.003669,1681.300892,3.775914,-1.293178,-10.126118,0.313493,Open
18.375186,0.000521,81.66931,0.426435,-123.375512,291.61898,168.243468,39.157545,39.159429,1533.460859,3.519413,0.812847,-11.102205,0.043734,Open
2.676381,0.079027,80.285524,0.000137,-27.2003,55.034684,27.834384,6.213396,6.213981,38.613562,4.262488,0.021776,0.041868,0.000184,Close
16.015761,0.001935,92.020986,-0.391397,-122.983938,272.569416,149.585478,35.064236,35.064981,1229.552906,3.247342,-1.123629,-12.593325,0.105839,Open
13.355796,0.001907,-38.994946,-1.429721,-128.971605,281.517545,152.545939,37.280297,37.255419,1387.966261,3.212629,-2.365575,-9.326649,0.125503,Open
2.23154,0.083258,191.48601,0.005446,-26.891479,54.407706,27.516227,6.421994,6.422394,41.247148,3.708488,0.025084,0.040336,0.008963,Close
17.502982,0.000546,-64.47536,0.207349,-128.492665,260.139822,131.647157,39.127525,39.12924,1531.097456,2.906766,-0.955579,-17.93324,0.090819,Open
2.603119,0.083204,89.776609,0.000903,-27.423038,55.266398,27.84336,6.554984,6.555336,42.972434,3.641506,0.013682,1.039157,-8.47E-05,Close
23.717594,0.000567,135.806582,5.249615,-516.065464,880.218974,364.15351,62.459574,62.241695,3874.028568,18.620847,1.022591,-9.939554,0.403833,Open
24.267722,0.000612,-28.103847,3.621935,-515.746588,880.211358,364.46477,64.921951,64.824297,4202.189441,16.930269,-1.170197,-0.822944,0.436924,Open
24.563913,0.000637,244.170357,4.183612,-515.357653,880.211682,364.854029,67.925467,67.800721,4596.937705,16.399949,-1.275612,-0.433819,0.434688,Open
2.832673,0.080353,-13.711241,-2.73E-05,-31.827578,63.032383,31.204805,6.732665,6.733121,45.334919,4.071823,-0.01546,0.003776,0.000241,Close
20.693828,0.000577,-226.173276,5.141831,-516.237092,880.2072,363.970108,72.408725,72.231305,5217.361484,15.161926,-1.3749,-18.920024,0.376374,Open
3.031295,0.080337,-110.371514,-3.33E-05,-31.827578,63.032383,31.204805,6.776433,6.776993,45.927637,4.108671,-0.043349,0.003776,0.000237,Close
22.539376,0.000667,124.310371,6.484582,-515.507474,880.186599,364.679124,77.889504,77.626301,6025.842546,14.083994,-0.867453,-0.598314,0.356013,Open
41.481703,0.000793,-63.736008,8.197299,-515.823019,880.224586,364.401567,86.129551,85.749129,7352.913206,12.470792,-0.857701,-0.891637,0.298264,Open
85.923523,0.000849,-84.609817,11.882749,-517.049394,880.273812,363.224417,102.860843,102.190852,10442.97016,9.139358,-0.358622,-46.102905,0.129254,Open
6.681584,0.079634,198.332364,-9.77E-05,-31.827578,63.032383,31.204805,6.994737,6.996432,48.950056,5.125326,-0.04409,0.003776,0.000724,Close
71.429057,0.001578,151.811759,23.906756,-517.592022,880.275578,362.683556,137.948391,135.909324,18471.34445,5.65007,-5.136277,-46.644588,-0.140834,Open
18.825846,0.011099,110.330376,-3.681537,-69.067934,258.42855,189.360616,36.369691,36.209831,1311.15186,10.376663,-8.946646,-3.168654,2.159486,Open
83.065458,0.001301,-122.355274,-10.648164,-210.820786,485.245766,274.424981,85.40981,84.764644,7185.044843,3.586673,-19.539937,-28.853623,0.603615,Open
3.331884,0.083738,-1.586104,-0.001517,-17.245457,33.785504,16.540047,4.65447,4.655346,21.672246,3.083618,0.013124,0.154078,-0.000613,Close
36.457412,0.000766,97.518896,2.162777,-209.292392,443.370491,234.078099,66.994379,66.969522,4484.916864,3.605774,2.083213,-11.992524,-0.113638,Open
27.992832,0.001658,-11.259719,1.232943,-121.846321,341.480577,219.634256,46.583843,46.572525,2169.000127,4.087788,-2.939171,-21.109551,0.709533,Open
1.71931,0.086904,78.082899,-0.00095,-18.888112,37.852678,18.964565,4.91997,4.920433,24.210665,3.487809,-0.020225,-0.908091,0.001678,Close
23.032963,0.001047,194.026418,0.739137,-122.004335,341.267464,219.263129,45.278937,45.276686,2049.978334,4.088509,-2.60919,-21.330433,0.651943,Open
1.758426,0.075328,-34.436969,0.0012,-18.888112,37.852678,18.964565,5.198083,5.198474,27.024136,3.393589,0.001867,-0.908091,0.000723,Close
21.561109,0.000421,248.595777,0.317112,-143.124068,361.766654,218.642586,45.366886,45.36888,2058.335314,4.525755,-3.362807,-7.461573,0.745069,Open
21.184256,0.000529,-55.509083,-0.61461,-146.339758,354.777616,208.437858,45.990657,45.989212,2115.00761,4.062781,-3.71564,-13.298152,0.575521,Open
19.745648,0.000673,31.35522,-0.118087,-145.590935,358.50148,212.910545,48.522981,48.525272,2354.701991,3.804241,-3.864873,-14.737895,0.546964,Open
1.956907,0.079891,120.359238,0.000294,-19.17278,39.412916,20.240136,5.618659,5.618939,31.572478,3.123115,0.04496,0.336614,-0.000169,Close
